85273,,27/06/2020,,,,,Maharashtra,MH,6368,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,114639
85274,,27/06/2020,,,,,Maharashtra,MH,4430,Recovered,,,https://t.me/c/1248471072/40522,,,,,,114640
85275,,27/06/2020,,,,,Maharashtra,MH,86,Deceased,,Deaths occured in last 48 hours,https://t.me/c/1248471072/40522,,,,,,114641
85276,,27/06/2020,,,,,Maharashtra,MH,81,Deceased,,Deaths occurred from the previous period,https://t.me/c/1248471072/40522,,,,,,114642
86926,,27/06/2020,,,,Ahmednagar,Maharashtra,MH,34,Hospitalized,,Split Entries,https://t.me/c/1248471072/40522,,,,,,116291
86927,,27/06/2020,,,,Akola,Maharashtra,MH,15,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116292
86928,,27/06/2020,,,,Amravati,Maharashtra,MH,7,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116293
86929,,27/06/2020,,,,Aurangabad,Maharashtra,MH,232,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116294
86930,,27/06/2020,,,,Beed,Maharashtra,MH,7,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116295
86931,,27/06/2020,,,,Buldhana,Maharashtra,MH,18,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116296
86932,,27/06/2020,,,,Chandrapur,Maharashtra,MH,1,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116297
86933,,27/06/2020,,,,Dhule,Maharashtra,MH,272,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116298
86934,,27/06/2020,,,,Gadchiroli,Maharashtra,MH,2,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116299
86935,,27/06/2020,,,,Gondia,Maharashtra,MH,1,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116300
86936,,27/06/2020,,,,Hingoli,Maharashtra,MH,-4,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116301
86937,,27/06/2020,,,,Jalgaon,Maharashtra,MH,93,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116302
86938,,27/06/2020,,,,Jalna,Maharashtra,MH,52,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116303
86939,,27/06/2020,,,,Kolhapur,Maharashtra,MH,22,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116304
86940,,27/06/2020,,,,Latur,Maharashtra,MH,19,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116305
86941,,27/06/2020,,,,Mumbai,Maharashtra,MH,2077,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116306
86942,,27/06/2020,,,,Nagpur,Maharashtra,MH,-24,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116307
86943,,27/06/2020,,,,Nanded,Maharashtra,MH,9,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116308
86944,,27/06/2020,,,,Nandurbar,Maharashtra,MH,12,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116309
86945,,27/06/2020,,,,Nashik,Maharashtra,MH,270,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116310
86946,,27/06/2020,,,,Osmanabad,Maharashtra,MH,1,Hospitalized,,,https://t.me/c/1248471072/40522,,,,,,116311
